0:00:00 :  okay start we've done the part right we've done the part already so Nancy
0:45:25.160000 :  Yeah.
0:45:26.160000 :  And you know, there is no, there are no people who express an interest.
0:45:29.160000 :  So there is something happening, you know, with a student body that hasn't happened in the past.
0:45:35.160000 :  And the department wants to get involved in this, you know, to bring alumni, you know,
0:45:39.160000 :  to get many parties involved, to speak about what, you know, the society is,
0:45:42.160000 :  because maybe we are dealing with the result of post-COVID years,
0:45:45.160000 :  where the society couldn't function for many years, right?
0:45:48.160000 :  So people don't have the living memory of how it functioned.
0:45:52.160000 :  But at least keep, it would be really great if people kept their eyes peeled,
0:45:57.160000 :  because when it comes to discussions about the composition of the, you know, the student society,
0:46:03.160000 :  we would very much like to hear students who have these concerns,
0:46:06.160000 :  or who consider, you know, this an important issue, to speak out and say,
0:46:11.160000 :  I'm sure everybody will be very happy to include that,
0:46:14.160000 :  because that's the whole idea of a student society.
0:46:18.160000 :  We haven't considered much about the student society in the philosophy department, right?
0:46:25.160000 :  Oh, can you say again?
0:46:27.160000 :  We haven't considered much of the student society in the philosophy department?
0:46:42.160000 :  We tried to reach out to some, I guess, ex-member of the philosophy society for statistics,
0:46:50.160000 :  and what's your question again?
0:46:55.160000 :  About the philosophical society, right?
0:46:58.160000 :  I think we didn't consider them much before.
0:47:04.160000 :  We only contacted them for statistics of the students.
0:47:10.160000 :  Yeah.
0:47:11.160000 :  It might be also interesting to see the composition of the society.
0:47:15.160000 :  Who, where, you know, the representatives, who was the secretary, right, in terms of gender distribution.
0:47:23.160000 :  Because of course, the philosophical society is a society that is elected by the students.
0:47:29.160000 :  So in that regard, that might speak of a general issue.
0:47:34.160000 :  We discussed it.
0:47:37.160000 :  We talked about female scholars before, so I'd like to know,
0:47:44.160000 :  do you think female academics face more challenges in philosophy, in academia, in general?
0:47:53.160000 :  Yeah, I would say traditionally that was the case.
0:47:57.160000 :  My general sense is that worldwide, the situation has improved in very important ways.
0:48:05.160000 :  So also if we just consider, say, statistically,
0:48:10.160000 :  the number of male and female candidates who have gotten positions recently in philosophy.
0:48:19.160000 :  I haven't looked into the statistics myself, but one thing is that I'm sure that there are many more
0:48:26.160000 :  female candidates getting positions now, statistically, than say 20 years ago or 30 years ago.
0:48:33.160000 :  That there would be no comparison.
0:48:36.160000 :  And the reason for that is that for a number of years now already,
0:48:39.160000 :  there is the awareness of the issues that we have discussed.
0:48:46.160000 :  So historically, yes indeed so.
0:48:49.160000 :  Now my general sense is that this issue is definitely improving.
0:48:56.160000 :  It remains complex in that everything Saul said is correct.
0:49:00.160000 :  There's still the problems within broader philosophy cultures that you guys are touching on
0:49:05.160000 :  that might make for challenges for women to advance their careers
0:49:10.160000 :  at the same time as there's more support and more encouragement
0:49:14.160000 :  and maybe a bit of preference in the job market.
0:49:16.160000 :  So those two things exist.
0:49:18.160000 :  It's absolutely correct that a woman who has exceeded in her career and is doing well
0:49:23.160000 :  has a very, very good chance on the philosophy job market.
0:49:26.160000 :  But it also remains true that she may encounter challenges along the way
0:49:30.160000 :  like the ones that you guys have described in broader cultures of philosophy.
0:49:35.160000 :  Yeah. Maybe different philosophical fields are also different.
0:49:39.160000 :  I mainly work in phenomenology.
0:49:42.160000 :  And as I'm thinking about it now, of course I know the people who get positions worldwide.
0:49:47.160000 :  And actually, over the last, I would say seven years,
0:49:50.160000 :  there are more female colleagues who landed positions in phenomenology than me.
0:49:54.160000 :  Twenty, thirty years ago, it would have been, you know, that was different.
0:49:58.160000 :  But there were also female colleagues who had positions, sure, you know, but statistically.
0:50:03.160000 :  So the station has changed dramatically.
0:50:06.160000 :  But yes, of course, you know, the picture itself is complicated, of course.
0:50:10.160000 :  It is just, you know, when I think about it in general, if one looks into the details,
0:50:18.160000 :  there are so many components, of course, and it's important to attend to them.
0:50:23.160000 :  What kind of philosophical culture causes less female enterer philosophy academia?
0:50:31.160000 :  Well, you guys are alluding to some of the issues in the article,
0:50:35.160000 :  and I know it's just in a kind of sketchy form right now.
0:50:38.160000 :  But you've talked, for example, about, we're speaking very generally here,
0:50:43.160000 :  but I do grant that from my understanding of the psychological research,
0:50:47.160000 :  it corroborates what you guys have been describing,
0:50:50.160000 :  which is that typically there are preferences for things people are interested in
0:50:55.160000 :  and modes of communication and expression where there's a bit of a statistical variation between men and women.
0:51:01.160000 :  And that the way that we communicate, express ourselves, share ideas in philosophy departments
0:51:08.160000 :  has typically favored male, typically male ways of communicating and expressing,
0:51:14.160000 :  and that that sometimes makes women feel less comfortable in those spaces.
0:51:18.160000 :  Again, huge generalizations here, but when you're looking at understanding swaths of statistics,
0:51:24.160000 :  it helps to make some sense out of those.
0:51:27.160000 :  So, yeah, if voices are not heard, they don't get a chance to show themselves
0:51:32.160000 :  and to get the attention and the opportunity that they maybe deserve at an earlier moment.
0:51:37.160000 :  Maybe a female student that's transferred out of a philosophy department, ours or others,
0:51:42.160000 :  because that issue of female students transferring out is also, you know,
0:51:46.160000 :  not unique to CUHK, maybe some of those students would have gone on to be great academic philosophers,
0:51:53.160000 :  wonderful colleagues for us, but because of, you know,
0:51:56.160000 :  historical ways that philosophy is expressed in professional academic philosophy,
0:52:01.160000 :  they said, oh, that's not the place for me. I'm going to go to a different area.
0:52:05.160000 :  And that's a loss for us, for our discipline, for this small group of philosophers here,
0:52:10.160000 :  for the students that we have here.
0:52:12.160000 :  So finding ways to change those cultures and make sure that everyone feels like their voice is welcome
0:52:19.160000 :  and is being heard is a priority.
0:52:23.160000 :  It's also the most difficult part of what we've talked about today.
0:52:28.160000 :  Like hiring a female colleague is hard. We're clearly struggling, but we're making it a priority.
0:52:33.160000 :  We know exactly what we need to accomplish and we're throwing everything at it.
0:52:38.160000 :  And if the problems with culture among the students were just things like explicit sexism,
0:52:44.160000 :  you know, some students saying things like women belong in the kitchen.
0:52:48.160000 :  Well, I feel like we could focus on that and say like that is intolerable.
0:52:53.160000 :  But when it comes to these more subtle issues of how we express ourselves in the classroom,
0:52:57.160000 :  whose voice get heard and whose doesn't, let me put it a different way.
0:53:03.160000 :  When you describe the situation of favoritism, which you described as favoritism,
0:53:07.160000 :  between a female and a male student, and the one speaks a lot in class and is very highly esteemed by peers,
0:53:14.160000 :  whereas the female student is not speaking as much and might be just as excellent,
0:53:19.160000 :  but feels like she isn't able to express and hear herself.
0:53:23.160000 :  Let me put it like this. If you were teaching the class, what would you do differently?
0:53:30.160000 :  And I'm not saying there isn't anything we can do. There are things we can do.
0:53:34.160000 :  And we're thinking about this. We'll be having these kinds of conversations.
0:53:38.160000 :  But just to have you see it from our side, what would you do differently?
0:53:45.160000 :  Should I call on that female student and say, hey, you talk more?
0:53:49.160000 :  I haven't heard your voice. I want to know if you're as excellent as that guy over there.
0:53:53.160000 :  You talk more. No. This is not a good solution.
0:53:57.160000 :  I've thought of this problem. So I wouldn't attribute the issue to the lecturer,
0:54:05.160000 :  but rather it's the culture among the students. I could imagine it could have been otherwise.
0:54:16.160000 :  I can imagine the case that students do not assume that students would talk very aggressively
0:54:29.160000 :  as being a grade-back student.
0:54:35.160000 :  If the culture among students encourage collaboration, the situation could have been better.
0:54:47.160000 :  For example, the norm right now is students would just throw out their arguments
0:55:10.160000 :  and then others would fight against it. If you can successfully defend a position,
0:55:16.160000 :  then others would feel you as a good student, a philosophically able student.
0:55:24.160000 :  But it could have been another way. I could imagine a situation where students just actively build upon each other's views
0:55:32.160000 :  and then maybe construct a more well-rounded position relative to a tutorial class.
0:55:39.160000 :  I see it as absolutely possible as an alternative to the current situation,
0:55:45.160000 :  where it could invite more female students to join in the discussion,
0:55:50.160000 :  and they wouldn't feel repelled from the more aggressive comments from their male teachers.
0:56:00.160000 :  So I would say the problem is not in how the lecture is done, but rather in the culture among the students.
0:56:08.160000 :  I think that has been a lingering problem that causes all these gender issues in my own perspective.
0:56:18.160000 :  But that's how I see the problem. It's the culture that causes all these issues among male and female students.
0:56:31.160000 :  Would you say that the same problem has emerged because the department has different orientations?
0:56:40.160000 :  It's right. Anglo-American, Chinese, Continental.
0:56:46.160000 :  Is the problem the same in the lectures or seminars in these different groups of classes?
0:56:59.160000 :  What's your question, Ken?
0:57:01.160000 :  So we have different kinds of classes. So the problem that you are describing, I would describe it as follows, or adding on it.
0:57:07.160000 :  So a colleague from another country came to give a talk.
0:57:11.160000 :  I wrote to him an email expressing appreciation and clarifying why I thought the talk was great.
0:57:20.160000 :  He was so surprised. He said, you know, in philosophy nowadays, and he came from a world of learning,
0:57:26.160000 :  in philosophy nowadays there are only two reactions, either indifference or somebody starting to kill you.
0:57:34.160000 :  But I would say this kind of combative spirit does not characterize all philosophical traditions.
0:57:40.160000 :  That's my question, you see, what I'm getting at.
0:57:43.160000 :  And I wonder whether tutorials or discussions are led differently within different traditions.
0:57:52.160000 :  I can certainly see how within certain philosophical traditions the question would be not telling me why this person is wrong,
0:58:01.160000 :  but telling me why this is important. Articulate, elaborate. What implications follow.
0:58:11.160000 :  So it much depends on questions that are being asked, but within different philosophical traditions, you know, tradition,
0:58:17.160000 :  anyone has quite different questions.
0:58:20.160000 :  In our philosophical traditions, from Robin's gathered, currently in the student circle,
0:58:32.160000 :  the philosophical tradition that is popular these days is analytic philosophy.
0:58:40.160000 :  I know that the department has a one third continental, one third Chinese, one third analytic,
0:58:51.160000 :  but among students, analytic philosophy was the thing.
0:58:55.160000 :  And 20 years ago, it was Chinese philosophy and continental philosophy,
0:59:01.160000 :  but we have observed that issues like these, gender issues we have been discussing, were prevalent in the past and current.
0:59:15.160000 :  So I do not think it's a problem of philosophical traditions.
0:59:22.160000 :  So say it's in all traditions.
0:59:25.160000 :  This is probably the word.
0:59:33.160000 :  That's where we have mentioned about the locker room culture.
0:59:36.160000 :  And in the past, there's a circle, students would form different circles.
0:59:43.160000 :  This circle is formed among Chinese philosophy students, this is formed among continental students.
0:59:50.160000 :  And nowadays, we have also observed there's an analytic philosophy circle.
0:59:56.160000 :  And in this circle is really what created these locker rooms, because they echoed different each other,
1:00:08.160000 :  patting each other in the back, which is what we think contributed to gender issues in the past.
1:00:21.160000 :  Calvin, what you said about the combative character of that culture, I think was very perceptive.
1:00:28.160000 :  And I think the remark from the overseas colleagues that you emailed is also very telling.
1:00:35.160000 :  It's not just among our students.
1:00:38.160000 :  There has been something that's settled into the way of doing philosophy and academic philosophy.
1:00:44.160000 :  It's not the only way, it's not everyone who does it that way, but something of this combative spirit,
1:00:50.160000 :  thinking that that's the way philosophy is to be done, has kind of settled into the norm.
1:00:55.160000 :  And I would say many of us were probably educated in that kind of culture as well,
1:01:00.160000 :  and proved ourselves and came to show that we're able philosophers in that kind of culture as well.
1:01:06.160000 :  So becoming aware as educators that there are other ways to conduct philosophical discourse that are more constructive,
1:01:15.160000 :  that involve building on one another's ideas more than trying to knock them down,
1:01:19.160000 :  different metaphors and models of philosophical discourse is really important.
1:01:24.160000 :  Now, how without saying who does what in which classes,
1:01:29.160000 :  when we have people who are maybe teaching in that way and contributing to that culture,
1:01:35.160000 :  how to change that, it's very difficult because even if we want to bring about change in the culture,
1:01:42.160000 :  it's very difficult to mandate that teachers change the way they teach in classes.
1:01:49.160000 :  But this is an issue that we'll be sensitive to as we're looking into this and thinking about how we go about changing our culture here.
1:01:57.160000 :  Okay, now, so okay, then we would like to look into part that is perhaps a bit more sensitive.
1:02:21.160000 :  We have heard from some of our interviewees regarding the issue of sexual harassment between the department,
1:02:29.160000 :  and we would like to know more about it.
1:02:32.160000 :  And would you perhaps want to say something about that?
1:02:37.160000 :  If there is sexual harassment, how will the department deal with it?
1:02:45.160000 :  So obviously when it comes to the details, it's something that we cannot enter into because those details are confidential.
1:02:54.160000 :  It would be extremely, anytime you would address with a student or a colleague or anybody issues of this kind,
1:03:04.160000 :  you would always say anything that you say will stay with me.
1:03:08.160000 :  So the last thing, right, that one can do then is address this issue so that anybody can read about it.
1:03:14.160000 :  So the details cannot be, you know, we cannot enter into the details.
1:03:19.160000 :  Now, to the best of my knowledge, correct me if I'm wrong,
1:03:25.160000 :  obviously no faculty member was ever either accused or convicted, so to speak, of sexual harassment.
1:03:38.160000 :  Now, second, can I just ask, does that corroborate what you guys have heard?
1:03:44.160000 :  Have you heard anything other than what Professor Gainius just said?
1:03:50.160000 :  Well, we haven't heard of any philosophy department members harassing other people,
1:03:59.160000 :  but we have heard cases of sexual harassment from our interviewees.
1:04:08.160000 :  Between students, yeah. We just wanted to clarify that.
1:04:13.160000 :  Actually, I cannot show what I heard is sexual harassment, but I heard from, actually she's not one of our interviewees.
1:04:27.160000 :  She's just my friend, but she's also in the department.
1:04:30.160000 :  But she has built a very close relationship with one of the department members.
1:04:40.160000 :  Department member?
1:04:43.160000 :  Yeah, and I feel concerned because I'm not sure whether she can protect herself very well.
1:04:52.160000 :  So not a student?
1:04:54.160000 :  Not a student, but a department member.
1:04:59.160000 :  Actually, she's a visiting professor.
1:05:07.160000 :  But nothing really serious has happened, I would say.
1:05:12.160000 :  But it makes me think another issue is that when some faculty members want to help a student,
1:05:21.160000 :  how can we prevent the students from being a victim of the relationship?
1:05:26.160000 :  Right. This is completely new to me. I haven't heard of that.
1:05:33.160000 :  What can a department do, and what should a department do?
1:05:42.160000 :  Obviously, a department should do what other departments do, either here or at other universities.
1:05:48.160000 :  There is a procedure.
1:05:51.160000 :  We are not trained to deal with issues of this age.
1:05:58.160000 :  We don't have the background either to deal with the trauma that very often results from these kinds of experiences,
1:06:06.160000 :  or even we don't have the legal training to qualify X as X or Y as Y.
1:06:16.160000 :  But, like all other universities, CHK as well has an office, and the office is an office of sexual harassment.
1:06:24.160000 :  Now, what is of importance? I would always encourage students to let us know.
1:06:31.160000 :  They don't feel comfortable to speak to male colleagues, to general office members.
1:06:38.160000 :  The step that we would take is not only would we make contact with this office,
1:06:47.160000 :  ask the office to contact a student rather than the other way around,
1:06:51.160000 :  but we would really encourage the student to address the office,
1:06:56.160000 :  because they are the ones with the training to deal with problems of this age.
1:07:07.160000 :  What we would do, besides showing concern, which of course would be, trust me, genuine,
1:07:17.160000 :  because these kinds of things are really both shocking and something that should be completely not tolerated at any department.
1:07:28.160000 :  But the real, to address the problem, you need people with a training.
1:07:33.160000 :  So this is what I can say when it comes to the details, these kinds of things.
1:07:40.160000 :  When it comes to some confidential conversations, confidential conversations have to say confidential.
1:07:46.160000 :  So the procedure is if a student were sexually harassed, she need to come to the general office and report harassment?
1:07:57.160000 :  We would want to know that, that's right, that's right.
1:08:00.160000 :  There are different ways to deal with it. She can also report it to the police. It's a crime.
1:08:07.160000 :  But the university would not say, oh, talk to the police, we don't have anything to do with that.
1:08:12.160000 :  They would say, no, no, we have an office to deal with issues like that.
1:08:16.160000 :  So these offices can address both matters relating to sexual harassment as well as help the student psychologically.
1:08:27.160000 :  Because very often these kinds of events result in a deep trial.
1:08:32.160000 :  To the best of my knowledge, so again, no colleague was ever accused, actually accused of sexual harassment.
1:08:40.160000 :  To say nothing of any committee's decision that was a case of sexual harassment.
1:08:48.160000 :  To the best of my knowledge, no student.
1:08:51.160000 :  We don't have a case where we could say this case is to be labeled as sexual harassment.
1:08:59.160000 :  The committees looked into that and this is the decision that they reached.
1:09:05.160000 :  To the best of my knowledge, correct me if I'm wrong.
1:09:08.160000 :  You mean the committee has never decided that sexual harassment happened in the philosophy department?
1:09:16.160000 :  Yes, because when it comes to issues like that, there are committees with any kind of allegation in a port of law.
1:09:28.160000 :  If I say that you stole money from me, somebody needs to ascertain this truly happened.
1:09:33.160000 :  So in this particular case as well.
1:09:37.160000 :  Because otherwise you will have instances of witch hunting where people will just say whatever they want and that will be enough.
1:09:46.160000 :  So obviously that's not the legal way to proceed.
1:09:49.160000 :  There must be committees who establish the case.
1:09:54.160000 :  So that's to the best of my knowledge.
1:09:56.160000 :  But again, that aside, when students run into these kind of problems, it's very important for them just not to keep it in themselves.
1:10:07.160000 :  That doesn't help. Very often problems will continue.
1:10:11.160000 :  So that's really not a step to take.
1:10:14.160000 :  And there are institutions as well as offices that are there to help.
1:10:19.160000 :  So for instance, even if it comes to establishing or not establishing that this case should be labeled this way or another way or a third way, even that aside, the offices will search for ways to help the student under the circumstances.
1:10:35.160000 :  But one of our interviews has reported that the students who are in the office are not being helped.
1:10:42.160000 :  They are being helped by the department.
1:10:45.160000 :  But one of our interviews has reported that she feels reluctant to report to the department because she feel, I don't know how to put it, but she just don't trust the department and the anti-sexual harassment committee in the university.
1:11:09.160000 :  Because she complained about the procedure there.
1:11:13.160000 :  She said the procedure required her and who committed the sexual harassment to be in the same room and talk to each other to solve the problem.
1:11:28.160000 :  And she also said that because the social worker there does not understand the atmosphere and community in the philosophy department.
1:11:37.160000 :  So they may not be very able to help her.
1:11:41.160000 :  That makes the station very difficult.
1:11:45.160000 :  Because as with any other crime, crime needs to be reported if it is to be addressed as crime.
1:11:56.160000 :  If it is not reported, who is going to help? How?
1:12:01.160000 :  So then you get into this very difficult situation.
1:12:04.160000 :  And honestly, I also understand the complexity of this situation.
1:12:09.160000 :  Because very often there are reasons why, let's not necessarily focus on female students.
1:12:15.160000 :  Females in general don't want to talk about that.
1:12:19.160000 :  So a terribly complicated matter, to say the least.
1:12:25.160000 :  But from the department side, the only way in which we can try to help is if we know.
1:12:32.160000 :  If we don't know, there is nothing we can do.
1:12:35.160000 :  We don't have how, what kind of magical channels we will obtain.
1:12:42.160000 :  And what we would do is what universities have these offices for this purpose.
1:12:50.160000 :  So like last year, this coming year also, there will be information that will be circulated among the students.
1:12:59.160000 :  We did that last year.
1:13:00.160000 :  Not only the information came from the offices, but also from the department.
1:13:06.160000 :  Saying that these kind of details are not being tolerated.
1:13:09.160000 :  But generally, when we don't have a complete case to deal with.
1:13:17.160000 :  I'm not sure what else we can do.
1:13:22.160000 :  If you have ideas, that would be very good to hear.
1:13:26.160000 :  That's what we were saying earlier, that when it comes to these kinds of matters, it's important to work together.
1:13:31.160000 :  So if we refer the students to the Anti-Sexual Harassment Committee, is there anything else that the department can do for the students?
1:13:44.160000 :  To the best of my knowledge, there are two channels.
1:13:48.160000 :  The committee and, it depends on the case, police.
1:13:56.160000 :  So if there is violence, the student should call the police.
1:14:02.160000 :  If there is any kind of violence.
1:14:05.160000 :  Now, we are not policemen, right?
1:14:09.160000 :  We are members of the committee. We don't have the training.
1:14:12.160000 :  So we'll be happy to talk to the student, of course.
1:14:16.160000 :  It's crucial in water for us that those things don't happen.
1:14:20.160000 :  But it's good that there are people with the training to deal with that.
1:14:26.160000 :  Otherwise we would be dealing with that as amateurs.
1:14:30.160000 :  I'm noting down your question and will continue to ask it.
1:14:35.160000 :  But right now, what Salvi just said, we're pretty limited.
1:14:43.160000 :  But we'll think more about that. I'm not sure if there's anything more that we can do.
1:14:47.160000 :  There are certain things that we can do. But there are smaller things.
1:14:50.160000 :  We can try to limit the contact between the two students to a degree.
1:15:03.160000 :  We cannot prohibit any students who are not officially accused of anything from taking classes.
1:15:12.160000 :  Of course we cannot do that.
1:15:14.160000 :  But when it comes to setting up tutorial groups, things like that.
1:15:20.160000 :  Because in such instances, I can imagine for some students it can be a problem that the contact is still there.
1:15:28.160000 :  If the student is the same here, they continue to take the same classes because they go through the program.
1:15:33.160000 :  So the department can help, but it's a small thing to limit the contact.
1:15:39.160000 :  But we need to know the need.
1:15:44.160000 :  When we bring up the issue of sexual harassment, we bring it up not because of it.
1:15:51.160000 :  Just because among our students, we have felt that problems like sexual harassment are a bit more prevalent within the philosophy department than other departments.
1:16:05.160000 :  Right?
1:16:07.160000 :  It's more prevalent, more common in the philosophy department?
1:16:15.160000 :  More common? I'm not sure.
1:16:20.160000 :  We would need to publish articles about various departments, right?
1:16:24.160000 :  To establish this.
1:16:27.160000 :  But the problem is, look, that's not to close our eyes to the problem.
1:16:31.160000 :  If there are accusations, again, in many cases we're established to the best of my knowledge.
1:16:37.160000 :  But if there are accusations, this needs to be taken very, very seriously.
1:16:41.160000 :  And the steps that I mentioned is I would be very happy to hear from the students, as Aidan mentioned, let's not note this down.
1:16:51.160000 :  Let's talk, let's see. Maybe students will have ideas.
1:16:54.160000 :  Sometimes it so happens that you talk to the students and, well, you know, you don't get complete suggestions.
1:17:02.160000 :  Which is understandable because it's a difficult matter. Right?
1:17:06.160000 :  It's a very difficult matter.
1:17:09.160000 :  So, let one thing is clear, those kinds of things are zero tolerance. For sure. For sure.
1:17:18.160000 :  And that's also one of the reasons why it's very important that we know about it.
1:17:25.160000 :  I remember one of our interviewees said, even though sexual harassment in the law enforcement department is not unique,
1:17:35.160000 :  like it happens in other departments too, but what is unique is it's very hard for females to seek for help.
1:17:43.160000 :  Because they feel reluctant to talk to their male professors because she feels it is harder for them to...
1:17:54.160000 :  They don't understand, right?
1:17:56.160000 :  Yeah, and they are afraid to be judged.
1:18:01.160000 :  Well, I mean, it's...
1:18:06.160000 :  From my own perspective, as I was just saying, these are the things that we cannot tolerate.
1:18:13.160000 :  So when it comes to understanding, you know, now these concerns that a male faculty member won't understand,
1:18:24.160000 :  hopefully when we have female colleagues, students will feel more comfortable to address them.
1:18:33.160000 :  In the meantime, under the current composition, again, the suggestion that I would make is talk to general office.
1:18:42.160000 :  The general offices, they are unbelievably helpful people, really unbelievably.
1:18:50.160000 :  And then, you know, if there is a channel at the university, they will also know about it.
1:18:56.160000 :  They are extremely knowledgeable when it comes to these matters.
1:19:00.160000 :  So if a person is unwilling to talk to a male faculty member, talking to the general offices and adults...
1:19:09.160000 :  And in the future, hopefully, we'll have female colleagues, and hopefully, students will feel more comfortable.
1:19:16.160000 :  But I really don't want anybody talking about it in the sense that I don't want this to be happening.
1:19:23.160000 :  So we need to create such a culture where such things don't happen.
1:19:27.160000 :  This is really, you know...
1:19:33.160000 :  This is really challenging. And for so many levels.
1:19:38.160000 :  I would say the problem that we are discussing is, as I mentioned, a priority for the department right now.
1:19:47.160000 :  There is another big problem within the department and within the university, or whole family, I would say.
1:19:52.160000 :  And that has to do with depression and psychic health. Not only depression, also psychic health.
1:20:03.160000 :  To what degree these two instances are linked to each other?
1:20:11.160000 :  I cannot say, but I wouldn't be surprised if there was a link.
1:20:15.160000 :  Simply because, you know...
1:20:21.160000 :  There are certain things that a normal person would not know.
1:20:27.160000 :  So the problem is very deep. But we need to know the problem if we have to address it.
1:20:32.160000 :  And these are the channels that I mentioned earlier, where the department can be.
1:20:36.160000 :  I want to look at this, also, from one part into a few.
1:20:44.160000 :  We have heard that, from our interview, he thinks that the perpetrator of a central harassment would only try to harass a female student only if he felt safe to do so.
1:21:08.160000 :  So what he was implying was that the atmosphere in the philosophy department, in some sense, not encouraged, but allowed him to feel safe in doing whatever he did before, whatever those offenders did.
1:21:27.160000 :  I'm just quoting from him, because I'm not sure if he's...
1:21:41.160000 :  I'm not sure about this, but I just want to hear from you. What do you think about if the philosophy department has, perhaps, by its culture or in some other way,
1:21:57.160000 :  enabled people to feel safe to do so?
1:22:03.160000 :  So two things briefly that I would say, and then maybe you can add further reflections.
1:22:09.160000 :  First thing, that's an obvious case of false perception. This would not be tolerated. That's the first thing.
1:22:17.160000 :  And second, it's very sad that there is such a false perception.
1:22:19.160000 :  The students think that, you know, no, it would be okay. Everybody would be okay with that. It wouldn't be. Of course, we wouldn't tolerate that.
1:22:28.160000 :  So these are the two thoughts. Three, two, three, two thoughts.
1:22:35.160000 :  How to deal with that? Well, there is no short, quick, simple, magic answer. There are a number of steps that we need to take.
1:22:46.160000 :  Hiring female colleagues is one of them.
1:22:50.160000 :  Passing on the information to students at various levels of what is permitted and what is not permitted is another thing.
1:23:03.160000 :  Yeah, and then talking to you, you know, to all of you and seeing what we can all do together to change these negative aspects of the student culture.
1:23:13.160000 :  Yeah, my general response is the same.
1:23:20.160000 :  Unless there's a bit more elaboration of what the allegation of enabling is, when you use the language of enabling and say something has maybe been done to make someone feel like they can do that.
1:23:34.160000 :  I would need to understand what exactly is being suggested in that to be able to give a more specific answer.
1:23:40.160000 :  But certainly no one here is okay with that. If that's the question, it's not okay.
1:23:46.160000 :  So it must be suggesting something more subtle that has or has not been done to make that person feel safe.
1:23:54.160000 :  If there's more to say to that, we could respond to a more specific claim. But in its general form, it's not okay. No one here thinks it's okay.
1:24:03.160000 :  If we knew the details, then we could at least see what we could possibly do about it. But we would not let it go.
1:24:13.160000 :  I wasn't in that interview, but perhaps you could.
1:24:19.160000 :  Do you remember clearly what he said in that interview?
1:24:23.160000 :  Okay.
1:24:43.160000 :  I don't remember his exact words. Maybe we need to ask for more details.
1:24:50.160000 :  Okay.
1:24:53.160000 :  Then I just want to know what the department is planning to do just in order to respond to all of these problems.
1:25:08.160000 :  You have mentioned perhaps hiring female professors, communicating with students like us, and maybe just spread the information about what students can do and cannot do.
1:25:26.160000 :  Is there anything else in the department's agenda to improve issues?
1:25:32.160000 :  Another thing that I mentioned among other things is forming an ad hoc committee that would look into this matter in greater detail.
1:25:44.160000 :  We would be so pleased to hear from the student body what the students...
1:25:52.160000 :  The way we talk is that there are a number of allusions, but we don't know the details.
1:25:56.160000 :  So if the students came up with suggestions, and if somebody said to us, here is what would be really good, here is what would help, this would be of tremendous help.
1:26:12.160000 :  I can tell you that I've talked to some students about it, and they told me the very things that we're trying them to do.
1:26:21.160000 :  So it's something that we would take very seriously.
1:26:23.160000 :  Another thing that we will also probably do, and that we'll go through the ad hoc committee and other committees, is somewhat modify the curriculum.
1:26:33.160000 :  Add more courses either on issues relating to feminism.
1:26:39.160000 :  Add courses that focus on something that came up in the draft that you sent us, courses by female philosophers.
1:26:49.160000 :  There are so many of them, they are really outstanding.
1:26:54.160000 :  It would be great to have a course on Hannah Arendt. I think it would be of great interest.
1:27:00.160000 :  So that's another thing that we could do.
1:27:05.160000 :  But hearing from you, from the student body, would be very helpful.
1:27:09.160000 :  Because then we would together recognize the complexity of this situation, and work together on seeing what we can do.
1:27:17.160000 :  It's a problem that both of us have. Let's try to solve together.
1:27:24.160000 :  So we are trying to think, some colleagues are very active actually, Professor Keyes, one of them, when it comes to thinking of concrete ideas, what we can do.
1:27:37.160000 :  We will try to carry them through.
1:27:42.160000 :  What is the attitude towards gender issue of other department members?
1:27:49.160000 :  So this is something that we have started discussing this year, I would say, in the meetings.
1:27:56.160000 :  So at this point, where are our general discussions, the first big step that we want to take is, as I mentioned, higher female cox.
1:28:09.160000 :  So we are discussing the problems that reach us through the students, when it comes to students who do speak out.
1:28:18.160000 :  Of course by not pointing fingers at them, but pointing fingers at problems.
1:28:23.160000 :  So at this point, all of us realize that it is a problem.
1:28:33.160000 :  And there is a general consensus regarding the very fact that it is a problem, and what we can then possibly do to address it.
1:28:43.160000 :  And then different people voice different suggestions, different ideas.
1:28:46.160000 :  I think it is something that we will discuss, the way the meetings are structured at the department.
1:28:51.160000 :  The biggest meeting is in the summer, and the so-called retreat meeting.
1:28:56.160000 :  That is one of the top items on the agenda.
1:29:00.160000 :  That is what we want to do, because then we have more time.
1:29:04.160000 :  So that is what we want to address it in a much greater way.
1:29:08.160000 :  I would like to know why the department considers gender issues a problem.
1:29:13.160000 :  I want to know what are the reasons, because maybe we have different perspectives.
1:29:18.160000 :  One of the things is that we are an all-male department.
1:29:26.160000 :  It is really high time to become a department of the 21st century, in order to have some gender balance.
1:29:33.160000 :  We are really anachronistic, nobody can understand that we stand out in all possible regards.
1:29:38.160000 :  Not in a good way.
1:29:40.160000 :  So that is one thing.
1:29:41.160000 :  If we hear of students raising concerns, then students express surprise to us.
1:29:57.160000 :  Incoming students do surprise. Why?
1:30:00.160000 :  Aren't there any female colleagues?
1:30:02.160000 :  Once there is that contact, once there is something that we hear, we can turn and start addressing this issue.
1:30:08.160000 :  It makes it much easier for us.
1:30:11.160000 :  So, yes.
1:30:16.160000 :  Maybe just to complement some of what has just been said.
1:30:20.160000 :  When I spoke earlier, and again it is not just us, but almost every philosophy department has a higher attrition rate for female students than male students.
